"Facility Name","Type","County","Address","Website","Phone","Services","CCW Price","Basic Price","Lane Fee","Private Lesson","Confidence","Needs Verification","Source URL","Date Accessed","Notes"
"RTSP Randolph","range","Morris","730 State Route 10, Randolph, NJ 07869","https://www.rtspusa.com","(973) 446-1011","Basic Handgun, CCW Prep, Advanced, Private Lessons, Simulator","200","75","25","100","95","No","https://www.rtspusa.com/courses","2/6/2026","Flagship location, full-service range and training center"
"RTSP Union","range","Union","2606 Morris Ave, Union, NJ 07083","https://www.rtspusa.com","(908) 687-7877","Basic Handgun, CCW Prep, Advanced, Private Lessons, Simulator","200","75","25","100","95","No","https://www.rtspusa.com/courses","2/6/2026","Second RTSP location; same curriculum as Randolph"
"Gun For Hire (Woodland Park Range)","range","Passaic","831 Rte 46 W, Woodland Park, NJ 07424","https://gunforhire.com","(973) 357-0080","Basic Handgun, CCW Prep, Advanced, Women-only courses","225","80","30","125","95","No","https://gunforhire.com/classes","2/6/2026","Largest indoor range in NJ; serving Essex/Passaic border"
"Reloaderz NJ","range","Passaic","1551 Route 23 N, Wayne, NJ 07470","https://reloaderzgun.com","(973) 790-0340","Basic Handgun, CCW Prep, Advanced, Private Lessons","195","70","22","95","93","No","https://reloaderzgun.com/classes","2/6/2026","Wayne location; serves Morris/Passaic border area"
"The Heritage Guild (Rahway)","retailer","Union","1146 Main Ave, Clifton, NJ 07011","https://heritageguildnj.com","(908) 925-1040","Basic Handgun, CCW Prep, NJ Permit-to-Purchase classes","175","60","","90","92","Yes","https://heritageguildnj.com/training","2/6/2026","Retailer with in-house training; confirm current schedule"
"The Heritage Guild (Branchburg)","range","Somerset","3440 US-22, Branchburg, NJ 08876","https://heritageguildnj.com","(908) 722-7700","Basic Handgun, CCW Prep, Private Lessons, Range Rental","185","65","20","90","95","No","https://heritageguildnj.com/training","2/6/2026","Full range + retail; Somerset county anchor provider"
"Shore Shot Pistol Range","range","Monmouth","869 Cedar Bridge Ave, Brick Township, NJ 08723","https://shoreshot.com","(732) 458-4800","Basic Handgun, CCW Prep, Beginner, Private Lessons","160","55","18","80","94","No","https://shoreshot.com/training","2/6/2026","Lakewood/Brick area; serves southern Monmouth and Ocean"
"Union Hill Gun Club","gun club","Middlesex","400 Union Hill Rd, Monroe Township, NJ 08831","https://unionhillgunclub.com","(732) 521-0700","Basic Handgun, CCW Prep, Trap/Skeet, Private Lessons","175","50","15","75","93","No","https://unionhillgunclub.com","2/6/2026","Prominent Middlesex county gun club with active safety training program"
"Bullet Hole","range","Essex","189 Washington Ave, Belleville, NJ 07109","https://bulletholeshootingrange.com","(973) 759-7200","Basic Handgun, CCW Prep, Range Rental","120","45","17","70","92","Yes","https://bulletholeshootingrange.com","2/6/2026","Budget pricing tier; confirm CCW course schedule"
"Old Bridge Rifle & Pistol Club","gun club","Middlesex","230 Ernston Rd, Sayreville, NJ 08872","https://obrpc.com","(732) 254-3366","Basic Handgun, CCW Prep, Rifle, Pistol Competition","150","40","12","70","93","No","https://obrpc.com","2/6/2026","Long-standing club; active training calendar"
"Central Jersey Rifle & Pistol Club","gun club","Monmouth","60 Federal Rd, Jackson, NJ 08527","https://cjrpc.com","(732) 363-9396","Basic Handgun, CCW Prep, Rifle, Pistol Matches","160","45","12","70","93","No","https://cjrpc.com","2/6/2026","Active match schedule; Monmouth/Ocean border area"
"Griffin & Howe","range","Sussex","340 County Rd 517, Andover, NJ 07821","https://griffinhowe.com","(973) 398-4399","Advanced Handgun, Rifle, Custom Gunsmithing, Private Lessons","","","30","200","95","No","https://griffinhowe.com/shooting-schools","2/6/2026","High-end outfitter; premium pricing; CCW price not publicly listed"
"Union County Pistol Range","range","Union","Galloping Hill Rd, Mountainside, NJ 07092","https://ucnj.org","(908) 232-1000","Basic Handgun, CCW Prep, County Resident Programs","100","35","12","65","94","No","https://ucnj.org/parks-recreation/galloping-hill","2/6/2026","County-operated; lowest price tier in Union county"
"NJ Firearms Academy","private instructor","Hudson","Jersey City, NJ 07302","https://njfirearmsacademy.com","","Basic Handgun, CCW Prep, Women&#39;s Self Defense","250","80","","150","92","Yes","https://njfirearmsacademy.com","2/6/2026","Phone number requires confirmation; schedule varies"
"Method Tactical","private instructor","Morris","Morristown, NJ 07960","https://methodtactical.com","","CCW Prep, Defensive Handgun, Advanced","200","","","120","92","Yes","https://methodtactical.com","2/6/2026","Confirm address and phone; operates at partner ranges"
"NJ CCW Training","private instructor","Union","Union, NJ 07083","https://njccwtraining.com","","CCW Prep, Basic Handgun","150","60","","90","92","Yes","https://njccwtraining.com","2/6/2026","Online booking; confirm physical address for range"
"Iron Sights Academy","private instructor","Hunterdon","Flemington, NJ 08822","https://ironsightsacademy.com","","CCW Prep, Basic Handgun, Women&#39;s classes","190","65","","110","92","Yes","https://ironsightsacademy.com","2/6/2026","Confirm phone; operates at Tactical Training Center range"
